"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","44740.1","--","--",114556,"47217.1","--",135448.6
"Procurement","0.0","--","--",13087.2,"0.0","--",17234.6
"Flyaway","--","--","--",13087.2,"--","--",17234.6
"Recurring","--","--","--",13087.2,"--","--",17234.6
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",0,"--","--",0
"Other Support","--","--","--",0,"--","--",0
"Initial Spares","--","--","--",0,"--","--",0
"MILCON","0.0","--","--",917.6,"0.0","--",1198.2
"Acq O&M","0.0","--","--",0,"0.0","--",0
"Total","44740.1","--","--",128560.8,"47217.1","--",153881.4
